Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,DiferençaDeGolos,Pontos,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Assistências,Golos+Assistências,ConduçõesProgressivas,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,PassesChave,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos,GolosSofridos,GolosEsperadosAssistidos,GolosEsperadosSemPenáltis,PassesProgressivos
Boavista,34,7,11,16,39,-23,32,53.9,-17.8,18,55,411.0,3,8.8,66.3,172.0,58.3,-2.7,24.0,334.0,106.0,31.7,36.1,77.5,220400.0,80189.0,18.0,242.0,15162.0,34.0,159.0,593.0,17.44,63.0,1.85,554.0,273.0,348.0,827.0,705.0,48.2,18742.0,411.0,1000.0,-23.0,-0.68,-17.8,-0.52,51.0,2023-2024,37.0,62,24.8,32.3,1008.0
Portimonense,34,8,8,18,39,-33,32,56.7,-21.4,30,69,516.0,3,8.8,61.5,174.0,66.9,-0.1,25.0,375.0,118.0,31.5,35.3,75.0,196527.0,77344.0,30.0,273.0,13854.0,15.0,94.0,648.0,19.06,68.0,2.0,661.0,356.0,402.0,1017.0,811.0,44.7,17990.0,516.0,968.0,-33.0,-0.97,-21.4,-0.63,44.9,2023-2024,39.0,72,23.8,30.6,976.0
Vizela,34,5,11,18,36,-30,26,51.4,-10.9,25,59,462.0,8,23.5,62.1,161.0,54.1,-9.9,46.0,420.0,134.0,31.9,40.6,78.2,210202.0,85979.0,25.0,317.0,15405.0,43.0,93.0,746.0,21.94,58.0,1.71,521.0,266.0,384.0,787.0,766.0,49.6,19292.0,462.0,1234.0,-30.0,-0.88,-10.9,-0.32,49.3,2023-2024,34.0,66,28.8,37.4,1244.0
Chaves,34,5,8,21,31,-41,23,60.5,-26.3,18,48,414.0,4,11.8,64.1,184.0,65.3,-6.7,15.0,374.0,111.0,29.7,34.3,74.9,191781.0,77406.0,18.0,268.0,13419.0,26.0,121.0,641.0,18.85,46.0,1.35,473.0,294.0,364.0,767.0,730.0,43.8,17046.0,414.0,917.0,-41.0,-1.21,-26.3,-0.77,49.5,2023-2024,30.0,72,22.5,29.5,925.0
Benfica,34,28,3,3,82,62,87,23.0,64.1,51,129,763.0,21,61.8,75.3,73.0,20.3,1.3,29.0,568.0,193.0,34.0,87.1,84.5,315310.0,103650.0,51.0,437.0,22135.0,73.0,155.0,1025.0,30.15,137.0,4.03,660.0,364.0,327.0,1024.0,390.0,63.2,25943.0,763.0,1944.0,62.0,1.82,64.1,1.89,54.1,2022-2023,78.0,20,61.3,77.0,1955.0
Porto,34,27,4,3,73,51,85,27.8,46.1,49,120,741.0,17,50.0,77.2,79.0,25.1,6.1,45.0,509.0,180.0,35.4,74.0,81.5,273118.0,97649.0,49.0,391.0,18528.0,142.0,131.0,908.0,26.71,123.0,3.62,593.0,333.0,324.0,926.0,487.0,58.4,22214.0,741.0,1604.0,51.0,1.5,46.1,1.36,59.0,2022-2023,71.0,22,52.6,65.2,1624.0
Braga,34,25,3,6,75,45,78,39.6,19.4,50,122,613.0,17,50.0,77.0,113.0,33.3,3.3,54.0,552.0,217.0,39.3,59.0,80.3,276959.0,96649.0,50.0,407.0,18309.0,66.0,189.0,978.0,28.76,121.0,3.56,530.0,374.0,373.0,904.0,587.0,54.3,22055.0,613.0,1498.0,45.0,1.32,19.4,0.57,52.0,2022-2023,72.0,30,40.8,54.2,1511.0
Sporting CP,34,23,5,6,71,39,74,28.4,41.5,51,117,875.0,14,41.2,70.5,95.0,32.8,1.8,31.0,544.0,185.0,34.0,69.9,84.4,315993.0,98694.0,51.0,414.0,21201.0,89.0,135.0,980.0,28.82,114.0,3.35,595.0,293.0,295.0,888.0,363.0,63.1,24715.0,875.0,1834.0,39.0,1.15,41.5,1.22,54.8,2022-2023,66.0,32,50.1,62.0,1847.0
Arouca,34,15,9,10,36,-1,54,50.4,-10.8,23,59,400.0,15,44.1,78.5,149.0,47.6,11.6,31.0,355.0,119.0,33.5,39.7,77.5,223596.0,87751.0,23.0,268.0,15448.0,78.0,132.0,603.0,17.74,60.0,1.76,568.0,355.0,369.0,923.0,777.0,47.9,19341.0,400.0,1019.0,-1.0,-0.03,-10.8,-0.32,49.0,2022-2023,36.0,37,26.1,35.0,1022.0
Vitória,34,16,5,13,34,-5,53,41.2,-6.0,25,59,516.0,14,41.2,71.1,128.0,40.6,2.6,45.0,396.0,115.0,29.0,35.1,76.8,210741.0,83755.0,25.0,271.0,14815.0,54.0,119.0,690.0,20.29,59.0,1.74,579.0,350.0,359.0,929.0,703.0,47.8,18730.0,516.0,1122.0,-5.0,-0.15,-6.0,-0.18,46.0,2022-2023,34.0,39,24.9,31.4,1132.0
