Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,GolosSofridos_x,DiferençaDeGolos,Pontos,GolosEsperados_x,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Golos_x,Assistências,Golos+Assistências,GolosEsperados_y,GolosEsperadosAssistidos_x,GolosEsperadosSemPenáltis_x,ConduçõesProgressivas,PassesProgressivos_x,GolosSofridos_y,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Golos_y,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,GolosEsperadosSemPenáltis_y,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,GolosEsperadosAssistidos_y,PassesChave,PassesProgressivos_y,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos
Sporting CP,34,25,7,2,88,27,61,82,72.2,23.4,48.8,86.0,56,142,72.2,50.1,62.6,797.0,1786.0,27,15,44.1,68.5,73.0,24.2,-0.8,36.0,86.0,611.0,210.0,34.4,72.2,62.6,85.4,281706.0,93683.0,56.0,50.1,482.0,1786.0,19150.0,66.0,94.0,1108.0,32.59,145.0,4.26,545.0,252.0,318.0,797.0,556.0,60.1,22870.0,797.0,1767.0,61.0,1.79,48.8,1.43,53.1,2024-2025,
Benfica,34,25,5,4,84,28,56,80,78.8,29.2,49.5,81.0,58,139,78.8,55.5,69.7,684.0,1874.0,28,15,44.1,75.5,106.0,34.5,6.5,19.0,81.0,559.0,213.0,38.1,78.8,69.7,82.1,278683.0,97148.0,58.0,55.5,425.0,1874.0,18762.0,85.0,167.0,989.0,29.09,140.0,4.12,625.0,311.0,316.0,936.0,493.0,58.0,22577.0,684.0,1861.0,56.0,1.65,49.5,1.46,55.4,2024-2025,
Porto,34,22,5,7,65,30,35,71,56.5,30.4,26.1,65.0,44,109,56.5,37.8,47.8,578.0,1644.0,30,16,47.1,74.2,93.0,32.5,3.5,53.0,65.0,474.0,170.0,35.9,56.5,47.8,84.0,289504.0,92682.0,44.0,37.8,363.0,1644.0,19080.0,75.0,100.0,872.0,25.65,115.0,3.38,472.0,253.0,300.0,725.0,521.0,61.7,22533.0,578.0,1631.0,35.0,1.03,26.1,0.77,50.7,2024-2025,
Braga,34,19,9,6,55,30,25,66,51.3,34.2,17.1,54.0,40,94,51.3,36.9,46.5,602.0,1510.0,30,15,44.1,78.0,123.0,31.0,2.0,59.0,54.0,459.0,155.0,33.8,51.3,46.5,81.1,279688.0,90896.0,40.0,36.9,346.0,1510.0,18810.0,49.0,97.0,808.0,23.76,96.0,2.82,571.0,280.0,333.0,851.0,795.0,56.8,22526.0,602.0,1496.0,25.0,0.74,17.1,0.5,48.3,2024-2025,
Santa Clara,34,17,6,11,36,32,4,57,42.6,32.9,9.7,35.0,25,60,42.6,28.6,39.4,401.0,867.0,32,11,32.4,75.4,114.0,29.1,-2.9,27.0,35.0,378.0,124.0,32.8,42.6,39.4,73.5,177459.0,66893.0,25.0,28.6,261.0,867.0,13021.0,39.0,96.0,631.0,18.56,54.0,1.59,559.0,288.0,335.0,847.0,966.0,44.6,16921.0,401.0,858.0,4.0,0.12,9.7,0.28,51.5,2024-2025,
Vitória,34,14,12,8,47,37,10,54,44.6,32.4,12.2,43.0,27,70,44.6,31.3,42.2,504.0,1535.0,37,13,38.2,68.0,100.0,32.9,-4.1,35.0,43.0,444.0,141.0,31.8,44.6,42.2,80.7,251517.0,93103.0,27.0,31.3,322.0,1535.0,17462.0,50.0,102.0,778.0,22.88,74.0,2.18,528.0,267.0,319.0,795.0,764.0,56.7,21137.0,504.0,1526.0,10.0,0.29,12.2,0.36,49.8,2024-2025,
Famalicão,34,12,11,11,44,39,5,47,39.1,43.0,-3.9,43.0,29,72,39.1,24.9,34.4,437.0,1250.0,39,13,38.2,74.6,138.0,47.0,9.0,27.0,43.0,381.0,124.0,32.5,39.1,34.4,78.0,217884.0,81286.0,29.0,24.9,271.0,1250.0,15101.0,28.0,161.0,685.0,20.15,74.0,2.18,560.0,296.0,323.0,856.0,800.0,50.4,18939.0,437.0,1230.0,5.0,0.15,-3.9,-0.12,52.4,2024-2025,
Estoril,34,12,10,12,48,53,-5,46,41.3,58.2,-16.9,47.0,28,75,41.3,27.3,34.9,403.0,1053.0,53,7,20.6,69.5,151.0,56.1,3.1,56.0,47.0,328.0,112.0,34.1,41.3,34.9,78.4,208632.0,80292.0,28.0,27.3,244.0,1053.0,15103.0,51.0,86.0,578.0,17.0,76.0,2.24,530.0,324.0,331.0,854.0,901.0,48.9,19080.0,403.0,1039.0,-5.0,-0.15,-16.9,-0.5,47.4,2024-2025,
Casa Pia,34,12,9,13,39,44,-5,45,33.3,45.1,-11.8,36.0,26,62,33.3,22.9,30.2,397.0,960.0,44,7,20.6,77.3,163.0,45.4,2.4,27.0,36.0,314.0,98.0,31.2,33.3,30.2,75.5,193547.0,74313.0,26.0,22.9,221.0,960.0,13791.0,37.0,112.0,557.0,16.38,63.0,1.85,497.0,297.0,364.0,794.0,907.0,46.7,17574.0,397.0,951.0,-5.0,-0.15,-11.8,-0.35,49.7,2024-2025,
Moreirense,34,10,10,14,42,50,-8,40,33.4,39.5,-6.1,41.0,28,69,33.4,21.9,29.5,416.0,936.0,50,7,20.6,67.2,137.0,46.7,-3.3,30.0,41.0,342.0,125.0,36.5,33.4,29.5,78.3,200798.0,74493.0,28.0,21.9,262.0,936.0,14487.0,25.0,79.0,622.0,18.29,67.0,1.97,547.0,283.0,336.0,830.0,1015.0,47.5,18482.0,416.0,927.0,-8.0,-0.24,-6.1,-0.18,47.2,2024-2025,
Rio Ave,34,9,11,14,39,55,-16,38,38.9,54.4,-15.5,39.0,20,59,38.9,25.0,35.8,493.0,1051.0,55,5,14.7,69.2,169.0,53.1,3.1,29.0,39.0,371.0,123.0,33.2,38.9,35.8,78.4,214360.0,79707.0,20.0,25.0,261.0,1051.0,14661.0,40.0,95.0,646.0,19.0,60.0,1.76,597.0,312.0,359.0,909.0,959.0,47.8,18711.0,493.0,1041.0,-16.0,-0.47,-15.5,-0.46,48.0,2024-2025,
Arouca,34,9,11,14,35,49,-14,38,40.7,46.6,-6.0,34.0,18,52,40.7,25.2,33.5,418.0,1184.0,49,8,23.5,71.4,140.0,46.1,-0.9,50.0,34.0,390.0,119.0,30.5,40.7,33.5,79.0,228976.0,85117.0,18.0,25.2,262.0,1184.0,15955.0,70.0,76.0,699.0,20.56,60.0,1.76,552.0,297.0,376.0,849.0,852.0,52.3,19785.0,418.0,1175.0,-14.0,-0.41,-6.0,-0.18,48.8,2024-2025,
Gil Vicente FC,34,8,10,16,34,47,-13,34,33.8,42.1,-8.3,33.0,20,53,33.8,24.6,30.7,451.0,1100.0,47,7,20.6,68.0,128.0,44.0,-2.0,36.0,33.0,325.0,95.0,29.2,33.8,30.7,80.6,244400.0,82726.0,20.0,24.6,246.0,1100.0,16155.0,55.0,115.0,578.0,17.0,54.0,1.59,539.0,310.0,357.0,849.0,868.0,50.6,19987.0,451.0,1091.0,-13.0,-0.38,-8.3,-0.24,48.8,2024-2025,
Nacional,34,9,7,18,32,50,-18,34,37.8,48.2,-10.4,31.0,21,52,37.8,25.6,33.9,466.0,960.0,50,8,23.5,73.7,156.0,51.7,1.7,26.0,31.0,451.0,129.0,28.6,37.8,33.9,74.6,194690.0,74456.0,21.0,25.6,333.0,960.0,13055.0,46.0,165.0,779.0,22.91,52.0,1.53,555.0,287.0,387.0,842.0,878.0,47.5,17042.0,466.0,955.0,-18.0,-0.53,-10.4,-0.31,49.9,2024-2025,
Estrela,34,7,8,19,24,50,-26,29,29.4,45.7,-16.3,23.0,16,39,29.4,18.8,26.3,354.0,875.0,50,7,20.6,69.8,149.0,49.1,1.1,30.0,23.0,327.0,89.0,27.2,29.4,26.3,73.3,180030.0,72137.0,16.0,18.8,227.0,875.0,12566.0,59.0,86.0,539.0,15.85,41.0,1.21,613.0,306.0,388.0,919.0,969.0,44.8,16764.0,354.0,863.0,-26.0,-0.76,-16.3,-0.48,48.1,2024-2025,
AVS Futebol,34,5,12,17,25,60,-35,27,31.7,55.0,-23.3,25.0,17,42,31.7,22.0,27.7,388.0,877.0,60,8,23.5,67.4,175.0,60.5,1.5,24.0,25.0,341.0,87.0,25.5,31.7,27.7,75.7,191661.0,76821.0,17.0,22.0,242.0,877.0,13626.0,28.0,69.0,594.0,17.47,44.0,1.29,565.0,303.0,390.0,868.0,929.0,44.0,17581.0,388.0,863.0,-35.0,-1.03,-23.3,-0.68,54.6,2024-2025,
Farense,34,6,9,19,25,46,-21,27,30.5,51.4,-20.9,25.0,18,43,30.5,21.4,28.2,354.0,877.0,46,7,20.6,72.8,147.0,47.2,3.2,25.0,25.0,384.0,114.0,29.7,30.5,28.2,70.1,170392.0,72021.0,18.0,21.4,264.0,877.0,11632.0,20.0,107.0,641.0,18.85,43.0,1.26,589.0,327.0,390.0,916.0,992.0,41.3,15786.0,354.0,866.0,-21.0,-0.62,-20.9,-0.61,48.7,2024-2025,
Boavista,34,6,6,22,24,59,-35,24,32.1,56.2,-24.0,23.0,8,31,32.1,17.5,26.9,264.0,886.0,59,7,20.6,69.4,173.0,57.1,1.1,25.0,23.0,345.0,102.0,29.6,32.1,26.9,71.3,163678.0,69336.0,8.0,17.5,229.0,886.0,12251.0,40.0,92.0,587.0,17.26,33.0,0.97,565.0,313.0,336.0,878.0,843.0,40.3,15990.0,264.0,880.0,-35.0,-1.03,-24.0,-0.71,49.1,2024-2025,
Sporting CP,34,29,3,2,96,29,67,90,72.5,26.4,46.2,93.0,67,160,72.5,55.5,69.2,719.0,1669.0,29,16,47.1,68.4,79.0,24.4,-4.6,18.0,93.0,555.0,211.0,38.0,72.5,69.2,84.1,275295.0,97248.0,67.0,55.5,431.0,1669.0,19452.0,63.0,77.0,985.0,28.97,159.0,4.68,562.0,216.0,281.0,778.0,420.0,59.1,22840.0,719.0,1647.0,67.0,1.97,46.2,1.36,54.1,2023-2024,
Benfica,34,25,5,4,77,28,49,80,77.0,32.1,45.0,76.0,59,135,77.0,59.0,72.3,807.0,1880.0,28,16,47.1,78.8,113.0,35.5,7.5,21.0,76.0,581.0,231.0,39.8,77.0,72.3,83.8,289741.0,101234.0,59.0,59.0,455.0,1880.0,20589.0,91.0,138.0,1046.0,30.76,132.0,3.88,657.0,298.0,397.0,955.0,457.0,59.1,24432.0,807.0,1868.0,49.0,1.44,45.0,1.32,51.6,2023-2024,
Porto,34,22,6,6,63,27,36,72,64.5,28.5,36.0,62.0,46,108,64.5,46.8,58.0,819.0,1869.0,27,13,38.2,71.6,81.0,26.1,1.1,57.0,62.0,563.0,177.0,31.4,64.5,58.0,83.3,293647.0,97602.0,46.0,46.8,430.0,1869.0,19449.0,96.0,102.0,1026.0,30.18,110.0,3.24,484.0,215.0,308.0,699.0,440.0,63.1,22988.0,819.0,1856.0,36.0,1.06,36.0,1.06,52.8,2023-2024,
Braga,34,21,5,8,71,50,21,68,63.7,47.7,15.9,70.0,49,119,63.7,48.1,59.7,601.0,1678.0,50,6,17.6,65.4,127.0,46.4,-1.6,72.0,70.0,545.0,202.0,37.1,63.7,59.7,81.7,280854.0,100241.0,49.0,48.1,422.0,1678.0,18817.0,46.0,108.0,992.0,29.18,119.0,3.5,518.0,310.0,328.0,828.0,593.0,56.8,22609.0,601.0,1664.0,21.0,0.62,15.9,0.47,50.3,2023-2024,
Vitória,34,19,6,9,52,38,14,63,45.1,39.3,5.8,49.0,35,84,45.1,32.3,39.0,467.0,1361.0,38,10,29.4,73.8,126.0,45.5,8.5,39.0,49.0,452.0,135.0,29.9,45.1,39.0,75.3,207172.0,85898.0,35.0,32.3,336.0,1361.0,15030.0,39.0,104.0,786.0,23.12,85.0,2.5,505.0,277.0,366.0,782.0,643.0,48.6,18766.0,467.0,1353.0,14.0,0.41,5.8,0.17,54.5,2023-2024,
Moreirense,34,16,7,11,36,35,1,55,32.8,32.5,0.3,35.0,30,65,32.8,25.6,30.5,503.0,1054.0,35,16,47.1,73.4,128.0,35.2,1.2,18.0,35.0,393.0,110.0,28.0,32.8,30.5,77.8,217860.0,82989.0,30.0,25.6,297.0,1054.0,14914.0,35.0,76.0,674.0,19.82,62.0,1.82,532.0,318.0,382.0,850.0,797.0,46.2,18755.0,503.0,1047.0,1.0,0.03,0.3,0.01,47.2,2023-2024,
Arouca,34,13,7,14,54,50,4,46,47.6,49.5,-1.9,51.0,38,89,47.6,32.1,42.5,473.0,1317.0,50,5,14.7,71.3,150.0,51.4,2.4,69.0,51.0,459.0,157.0,34.2,47.6,42.5,80.2,254209.0,90188.0,38.0,32.1,332.0,1317.0,17348.0,51.0,98.0,793.0,23.32,83.0,2.44,530.0,262.0,361.0,792.0,637.0,53.7,20905.0,473.0,1306.0,4.0,0.12,-1.9,-0.06,50.1,2023-2024,
Famalicão,34,10,12,12,37,41,-4,42,35.8,45.7,-9.9,37.0,23,60,35.8,24.2,32.0,507.0,976.0,41,8,23.5,74.5,149.0,49.2,10.2,49.0,37.0,446.0,118.0,26.5,35.8,32.0,77.9,228716.0,86213.0,23.0,24.2,316.0,976.0,14426.0,25.0,174.0,770.0,22.65,64.0,1.88,548.0,299.0,372.0,847.0,687.0,47.1,18291.0,507.0,968.0,-4.0,-0.12,-9.9,-0.29,55.1,2023-2024,
Casa Pia,34,10,8,16,38,50,-12,38,29.4,43.1,-13.7,37.0,27,64,29.4,19.5,26.2,472.0,985.0,50,10,29.4,69.2,159.0,47.6,-2.4,22.0,37.0,352.0,115.0,32.7,29.4,26.2,77.2,198436.0,79271.0,27.0,19.5,256.0,985.0,14094.0,51.0,95.0,613.0,18.03,70.0,2.06,499.0,286.0,366.0,785.0,712.0,43.8,17791.0,472.0,972.0,-12.0,-0.35,-13.7,-0.4,44.6,2023-2024,
Farense,34,10,7,17,46,51,-5,37,44.3,55.6,-11.4,46.0,26,72,44.3,27.6,39.1,406.0,944.0,51,7,20.6,76.6,192.0,62.6,12.6,18.0,46.0,389.0,142.0,36.5,44.3,39.1,71.7,191166.0,75812.0,26.0,27.6,260.0,944.0,13093.0,30.0,110.0,645.0,18.97,75.0,2.21,515.0,332.0,472.0,847.0,1004.0,42.4,17135.0,406.0,932.0,-5.0,-0.15,-11.4,-0.33,47.9,2023-2024,
Rio Ave,34,6,19,9,38,43,-5,37,38.7,42.5,-3.8,36.0,22,58,38.7,25.5,31.9,451.0,1085.0,43,10,29.4,74.1,158.0,47.0,5.0,32.0,36.0,346.0,98.0,28.3,38.7,31.9,78.6,229619.0,83476.0,22.0,25.5,250.0,1085.0,15665.0,35.0,109.0,601.0,17.68,63.0,1.85,541.0,289.0,403.0,830.0,755.0,48.7,19527.0,451.0,1075.0,-5.0,-0.15,-3.8,-0.11,50.5,2023-2024,
Gil Vicente FC,34,9,9,16,42,52,-10,36,40.5,49.4,-8.9,42.0,28,70,40.5,25.4,34.4,565.0,1144.0,52,9,26.5,69.5,154.0,47.7,-2.3,39.0,42.0,351.0,128.0,36.5,40.5,34.4,78.0,228900.0,82263.0,28.0,25.4,271.0,1144.0,16065.0,55.0,84.0,629.0,18.5,70.0,2.06,540.0,303.0,373.0,843.0,677.0,49.3,19718.0,565.0,1138.0,-10.0,-0.29,-8.9,-0.26,50.8,2023-2024,
Estoril,34,9,6,19,49,58,-9,33,39.2,51.7,-12.5,49.0,27,76,39.2,26.5,37.7,570.0,1060.0,58,10,29.4,66.5,167.0,52.8,-2.2,38.0,49.0,391.0,135.0,34.5,39.2,37.7,79.0,228158.0,82076.0,27.0,26.5,281.0,1060.0,15367.0,45.0,122.0,675.0,19.85,85.0,2.5,538.0,269.0,359.0,807.0,687.0,48.7,19136.0,570.0,1052.0,-9.0,-0.26,-12.5,-0.37,43.4,2023-2024,
Estrela,34,7,12,15,33,53,-20,33,38.6,49.4,-10.8,29.0,18,47,38.6,29.7,37.8,405.0,1057.0,53,7,20.6,65.5,148.0,51.1,-0.9,48.0,29.0,369.0,105.0,28.5,38.6,37.8,75.0,210850.0,84151.0,18.0,29.7,281.0,1057.0,14750.0,38.0,106.0,631.0,18.56,50.0,1.47,574.0,281.0,390.0,855.0,709.0,47.0,18594.0,405.0,1046.0,-20.0,-0.59,-10.8,-0.32,51.8,2023-2024,
Boavista,34,7,11,16,39,62,-23,32,36.1,53.9,-17.8,37.0,18,55,36.1,24.8,32.3,411.0,1008.0,62,3,8.8,66.3,172.0,58.3,-2.7,24.0,37.0,334.0,106.0,31.7,36.1,32.3,77.5,220400.0,80189.0,18.0,24.8,242.0,1008.0,15162.0,34.0,159.0,593.0,17.44,63.0,1.85,554.0,273.0,348.0,827.0,705.0,48.2,18742.0,411.0,1000.0,-23.0,-0.68,-17.8,-0.52,51.0,2023-2024,
Portimonense,34,8,8,18,39,72,-33,32,35.3,56.7,-21.4,39.0,30,69,35.3,23.8,30.6,516.0,976.0,72,3,8.8,61.5,174.0,66.9,-0.1,25.0,39.0,375.0,118.0,31.5,35.3,30.6,75.0,196527.0,77344.0,30.0,23.8,273.0,976.0,13854.0,15.0,94.0,648.0,19.06,68.0,2.0,661.0,356.0,402.0,1017.0,811.0,44.7,17990.0,516.0,968.0,-33.0,-0.97,-21.4,-0.63,44.9,2023-2024,
Vizela,34,5,11,18,36,66,-30,26,40.6,51.4,-10.9,34.0,25,59,40.6,28.8,37.4,462.0,1244.0,66,8,23.5,62.1,161.0,54.1,-9.9,46.0,34.0,420.0,134.0,31.9,40.6,37.4,78.2,210202.0,85979.0,25.0,28.8,317.0,1244.0,15405.0,43.0,93.0,746.0,21.94,58.0,1.71,521.0,266.0,384.0,787.0,766.0,49.6,19292.0,462.0,1234.0,-30.0,-0.88,-10.9,-0.32,49.3,2023-2024,
Chaves,34,5,8,21,31,72,-41,23,34.3,60.5,-26.3,30.0,18,48,34.3,22.5,29.5,414.0,925.0,72,4,11.8,64.1,184.0,65.3,-6.7,15.0,30.0,374.0,111.0,29.7,34.3,29.5,74.9,191781.0,77406.0,18.0,22.5,268.0,925.0,13419.0,26.0,121.0,641.0,18.85,46.0,1.35,473.0,294.0,364.0,767.0,730.0,43.8,17046.0,414.0,917.0,-41.0,-1.21,-26.3,-0.77,49.5,2023-2024,
Benfica,34,28,3,3,82,20,62,87,87.1,23.0,64.1,78.0,51,129,87.1,61.3,77.0,763.0,1955.0,20,21,61.8,75.3,73.0,20.3,1.3,29.0,78.0,568.0,193.0,34.0,87.1,77.0,84.5,315310.0,103650.0,51.0,61.3,437.0,1955.0,22135.0,73.0,155.0,1025.0,30.15,137.0,4.03,660.0,364.0,327.0,1024.0,390.0,63.2,25943.0,763.0,1944.0,62.0,1.82,64.1,1.89,54.1,2022-2023,
Porto,34,27,4,3,73,22,51,85,74.0,27.8,46.1,71.0,49,120,74.0,52.6,65.2,741.0,1624.0,22,17,50.0,77.2,79.0,25.1,6.1,45.0,71.0,509.0,180.0,35.4,74.0,65.2,81.5,273118.0,97649.0,49.0,52.6,391.0,1624.0,18528.0,142.0,131.0,908.0,26.71,123.0,3.62,593.0,333.0,324.0,926.0,487.0,58.4,22214.0,741.0,1604.0,51.0,1.5,46.1,1.36,59.0,2022-2023,
Braga,34,25,3,6,75,30,45,78,59.0,39.6,19.4,72.0,50,122,59.0,40.8,54.2,613.0,1511.0,30,17,50.0,77.0,113.0,33.3,3.3,54.0,72.0,552.0,217.0,39.3,59.0,54.2,80.3,276959.0,96649.0,50.0,40.8,407.0,1511.0,18309.0,66.0,189.0,978.0,28.76,121.0,3.56,530.0,374.0,373.0,904.0,587.0,54.3,22055.0,613.0,1498.0,45.0,1.32,19.4,0.57,52.0,2022-2023,
Sporting CP,34,23,5,6,71,32,39,74,69.9,28.4,41.5,66.0,51,117,69.9,50.1,62.0,875.0,1847.0,32,14,41.2,70.5,95.0,32.8,1.8,31.0,66.0,544.0,185.0,34.0,69.9,62.0,84.4,315993.0,98694.0,51.0,50.1,414.0,1847.0,21201.0,89.0,135.0,980.0,28.82,114.0,3.35,595.0,293.0,295.0,888.0,363.0,63.1,24715.0,875.0,1834.0,39.0,1.15,41.5,1.22,54.8,2022-2023,
Arouca,34,15,9,10,36,37,-1,54,39.7,50.4,-10.8,36.0,23,59,39.7,26.1,35.0,400.0,1022.0,37,15,44.1,78.5,149.0,47.6,11.6,31.0,36.0,355.0,119.0,33.5,39.7,35.0,77.5,223596.0,87751.0,23.0,26.1,268.0,1022.0,15448.0,78.0,132.0,603.0,17.74,60.0,1.76,568.0,355.0,369.0,923.0,777.0,47.9,19341.0,400.0,1019.0,-1.0,-0.03,-10.8,-0.32,49.0,2022-2023,
Vitória,34,16,5,13,34,39,-5,53,35.1,41.2,-6.0,34.0,25,59,35.1,24.9,31.4,516.0,1132.0,39,14,41.2,71.1,128.0,40.6,2.6,45.0,34.0,396.0,115.0,29.0,35.1,31.4,76.8,210741.0,83755.0,25.0,24.9,271.0,1132.0,14815.0,54.0,119.0,690.0,20.29,59.0,1.74,579.0,350.0,359.0,929.0,703.0,47.8,18730.0,516.0,1122.0,-5.0,-0.15,-6.0,-0.18,46.0,2022-2023,
Chaves,34,12,10,12,35,40,-5,46,44.9,54.8,-9.9,34.0,17,51,44.9,26.9,37.1,521.0,1209.0,40,10,29.4,79.8,168.0,49.4,9.4,55.0,34.0,443.0,140.0,31.6,44.9,37.1,77.2,211796.0,86357.0,17.0,26.9,325.0,1209.0,14227.0,50.0,110.0,786.0,23.12,55.0,1.62,477.0,336.0,428.0,813.0,739.0,46.3,18162.0,521.0,1204.0,-5.0,-0.15,-9.9,-0.29,49.1,2022-2023,
Famalicão,34,13,5,16,39,47,-8,44,37.6,48.0,-10.4,37.0,31,68,37.6,29.1,33.7,515.0,1096.0,47,10,29.4,74.4,156.0,44.4,-0.6,33.0,37.0,425.0,115.0,27.1,37.6,33.7,78.0,224596.0,85561.0,31.0,29.1,323.0,1096.0,14900.0,39.0,179.0,746.0,21.94,70.0,2.06,587.0,330.0,396.0,917.0,717.0,47.1,18864.0,515.0,1089.0,-8.0,-0.24,-10.4,-0.31,49.1,2022-2023,
Boavista,34,12,8,14,43,54,-11,44,40.8,47.7,-7.0,43.0,35,78,40.8,28.8,37.6,518.0,1087.0,54,6,17.6,65.7,143.0,52.7,0.7,25.0,43.0,365.0,118.0,32.3,40.8,37.6,77.8,221552.0,81190.0,35.0,28.8,275.0,1087.0,15388.0,41.0,123.0,643.0,18.91,82.0,2.41,562.0,362.0,282.0,924.0,636.0,48.4,18985.0,518.0,1076.0,-11.0,-0.32,-7.0,-0.2,43.3,2022-2023,
Casa Pia,34,11,8,15,31,40,-9,41,37.6,48.6,-10.9,29.0,20,49,37.6,27.6,34.5,503.0,1062.0,40,11,32.4,77.0,152.0,47.6,9.6,30.0,29.0,378.0,112.0,29.6,37.6,34.5,75.7,189632.0,74859.0,20.0,27.6,291.0,1062.0,13947.0,42.0,64.0,655.0,19.26,51.0,1.5,551.0,350.0,414.0,901.0,709.0,42.0,17817.0,503.0,1049.0,-9.0,-0.26,-10.9,-0.32,46.4,2022-2023,
Vizela,34,11,7,16,34,38,-4,40,42.2,41.7,0.6,30.0,24,54,42.2,30.5,40.0,419.0,1150.0,38,11,32.4,77.7,139.0,39.9,2.9,36.0,30.0,406.0,148.0,36.5,42.2,40.0,75.0,190235.0,80839.0,24.0,30.5,295.0,1150.0,14729.0,55.0,83.0,680.0,20.0,49.0,1.44,558.0,381.0,370.0,939.0,817.0,45.5,18528.0,419.0,1143.0,-4.0,-0.12,0.6,0.02,47.7,2022-2023,
Rio Ave,34,10,10,14,36,43,-7,40,35.8,48.7,-13.0,35.0,29,64,35.8,26.5,30.9,523.0,1148.0,43,10,29.4,72.7,154.0,46.2,6.2,31.0,35.0,380.0,116.0,30.5,35.8,30.9,79.7,239467.0,86039.0,29.0,26.5,280.0,1148.0,15875.0,40.0,156.0,682.0,20.06,65.0,1.91,542.0,298.0,390.0,840.0,700.0,48.6,19719.0,523.0,1141.0,-7.0,-0.21,-13.0,-0.38,46.8,2022-2023,
Gil Vicente FC,34,10,7,17,32,41,-9,37,45.2,54.8,-9.6,31.0,19,50,45.2,29.1,39.0,576.0,1428.0,41,8,23.5,78.4,176.0,51.9,10.9,60.0,31.0,436.0,136.0,31.2,45.2,39.0,79.6,253577.0,94737.0,19.0,29.1,314.0,1428.0,17360.0,82.0,162.0,779.0,22.91,51.0,1.5,539.0,306.0,369.0,845.0,593.0,53.7,21140.0,576.0,1419.0,-9.0,-0.26,-9.6,-0.28,51.8,2022-2023,
Estoril,34,10,5,19,33,49,-16,35,33.4,59.0,-25.5,33.0,26,59,33.4,22.3,30.3,500.0,1015.0,49,8,23.5,75.9,162.0,56.6,8.6,32.0,33.0,351.0,111.0,31.6,33.4,30.3,77.7,219402.0,76986.0,26.0,22.3,246.0,1015.0,14168.0,43.0,202.0,592.0,17.41,59.0,1.74,513.0,250.0,333.0,763.0,647.0,47.6,17835.0,500.0,1010.0,-16.0,-0.47,-25.5,-0.75,46.9,2022-2023,
Portimonense,34,10,4,20,25,48,-23,34,39.8,56.1,-16.3,25.0,15,40,39.8,27.7,34.3,389.0,1072.0,48,8,23.5,76.9,199.0,59.6,12.6,37.0,25.0,389.0,114.0,29.3,39.8,34.3,76.0,222400.0,87088.0,15.0,27.7,300.0,1072.0,15159.0,42.0,104.0,694.0,20.41,45.0,1.32,532.0,339.0,399.0,871.0,722.0,48.9,19075.0,389.0,1060.0,-23.0,-0.68,-16.3,-0.48,55.1,2022-2023,
Marítimo,34,7,5,22,32,63,-31,26,43.4,56.1,-12.7,31.0,21,52,43.4,29.2,37.9,486.0,1199.0,63,5,14.7,66.5,167.0,62.6,0.6,49.0,31.0,465.0,125.0,26.9,43.4,37.9,75.9,216660.0,83688.0,21.0,29.2,341.0,1199.0,14487.0,24.0,131.0,801.0,23.56,51.0,1.5,594.0,334.0,344.0,928.0,554.0,48.4,18343.0,486.0,1185.0,-31.0,-0.91,-12.7,-0.37,52.6,2022-2023,
Paços de Ferreira,34,6,5,23,26,62,-36,23,32.9,56.0,-23.2,25.0,17,42,32.9,24.1,30.5,523.0,1040.0,62,3,8.8,64.1,167.0,56.9,-1.1,36.0,25.0,394.0,121.0,30.7,32.9,30.5,77.5,215792.0,83061.0,17.0,24.1,292.0,1040.0,14541.0,39.0,152.0,699.0,20.56,44.0,1.29,487.0,330.0,347.0,817.0,656.0,46.5,18106.0,523.0,1029.0,-36.0,-1.06,-23.2,-0.68,45.7,2022-2023,
Santa Clara,34,5,7,22,26,58,-32,22,35.2,51.7,-16.5,26.0,18,44,35.2,22.9,29.7,402.0,919.0,58,5,14.7,68.1,160.0,55.9,0.9,33.0,26.0,353.0,111.0,31.4,35.2,29.7,72.2,184185.0,77502.0,18.0,22.9,245.0,919.0,12905.0,39.0,117.0,593.0,17.44,43.0,1.26,546.0,314.0,366.0,860.0,735.0,42.4,16791.0,402.0,908.0,-32.0,-0.94,-16.5,-0.48,49.4,2022-2023,
