Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,GolosSofridos_x,DiferençaDeGolos,Pontos,GolosEsperados_x,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Golos_x,Assistências,Golos+Assistências,GolosEsperados_y,GolosEsperadosAssistidos_x,GolosEsperadosSemPenáltis_x,ConduçõesProgressivas,PassesProgressivos_x,GolosSofridos_y,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Golos_y,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,GolosEsperadosSemPenáltis_y,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,GolosEsperadosAssistidos_y,PassesChave,PassesProgressivos_y,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos
Estoril,34,8,6,20,29,61,-32,30,,,,,15,42,,,,,,61,7,20.6,64.9,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018,27.0
Benfica,34,25,7,2,72,18,54,82,,,,,34,102,,,,,,23,20,58.8,76.6,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,68.0
Porto,34,22,10,2,71,19,52,76,,,,,45,115,,,,,,20,19,55.9,77.5,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,70.0
Sporting CP,34,21,7,6,68,36,32,70,,,,,45,113,,,,,,36,13,38.2,69.8,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,68.0
Vitória,34,18,8,8,50,39,11,62,,,,,33,81,,,,,,39,12,35.3,72.7,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,48.0
Braga,34,15,9,10,51,36,15,54,,,,,29,78,,,,,,36,10,29.4,77.8,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,49.0
Marítimo,34,13,11,10,34,32,2,50,,,,,24,57,,,,,,32,14,41.2,76.7,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,33.0
Rio Ave,34,14,7,13,41,39,2,49,,,,,26,64,,,,,,39,13,38.2,73.2,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,38.0
Feirense,34,14,6,14,31,45,-14,48,,,,,19,48,,,,,,45,9,26.5,74.4,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,29.0
Boavista,34,10,13,11,33,36,-3,43,,,,,19,52,,,,,,36,14,41.2,71.9,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,33.0
Estoril,34,10,8,16,36,42,-6,38,,,,,16,49,,,,,,42,8,23.5,70.5,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,33.0
Chaves,34,8,14,12,35,42,-7,38,,,,,16,50,,,,,,42,12,35.3,76.1,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,34.0
Vitória Setúbal,34,10,8,16,30,39,-9,38,,,,,16,44,,,,,,39,11,32.4,73.8,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,28.0
Paços de Ferreira,34,8,12,14,32,45,-13,36,,,,,22,54,,,,,,45,9,26.5,69.2,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,32.0
Belenenses,34,9,9,16,27,45,-18,36,,,,,15,41,,,,,,45,8,23.5,67.5,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,26.0
Moreirense,34,8,9,17,33,48,-15,33,,,,,27,60,,,,,,48,6,17.6,66.2,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,33.0
Tondela,34,8,8,18,29,52,-23,32,,,,,12,40,,,,,,51,6,17.6,72.2,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,28.0
Arouca,34,9,5,20,33,57,-24,32,,,,,25,58,,,,,,57,5,14.7,63.3,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,33.0
Nacional,34,4,9,21,22,58,-36,21,,,,,15,35,,,,,,58,7,20.6,71.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-2017,20.0
Benfica,34,29,1,4,88,22,66,88,,,,,57,144,,,,,,22,17,50.0,71.1,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-2016,87.0
